"","Observed","Shannon","FaithPD","sample.id","site.number","lat","long","sample_type","collection_time","collection_date","Phosphate","Nitrite_plus_Nitrate","Ammonia"
"100_LW0521",51,3.15863242926674,10.028917628,"100_LW0521","100",-17.53432,-149.91013,"lagoon_water","12:45","5/19/21",0.14,0.21,0.05
"102_LW0521",38,2.83343443377424,7.732257357,"102_LW0521","102",-17.52928,-149.91816,"lagoon_water","11:21","5/19/21",0.17,0.17,0
"105_LW0521",64,3.43685562360443,13.462878212,"105_LW0521","105",-17.52007,-149.92062,"lagoon_water","10:05","5/19/21",0.15,0.37,1.16
"107_LW0521",53,3.08557242112508,11.024497933,"107_LW0521","107",-17.51886,-149.91327,"lagoon_water","11:29","5/19/21",0.08,0.38,0.12
"116_LW0521",43,3.01231654616988,8.823503039,"116_LW0521","116",-17.49475,-149.9146,"lagoon_water","10:00","5/24/21",0.08,0.28,0.19
"117_LW0521",48,3.11772015816561,9.440167763,"117_LW0521","117",-17.49065,-149.9111,"lagoon_water","10:24","5/24/21",0.12,0.23,0.5
"121_LW0521",36,2.90855757373332,7.08281779,"121_LW0521","121",-17.48853,-149.89686,"lagoon_water","12:08","5/24/21",0.15,0.26,0.49
"122_LW0521",72,3.30905123382993,11.657924095,"122_LW0521","122",-17.48485,-149.89624,"lagoon_water","12:32","5/24/21",0.11,0.21,0.48
"126_LW0521",39,3.10613862275017,7.407886538,"126_LW0521","126",-17.4918,-149.87949,"lagoon_water","15:54","5/24/21",0.06,0.61,0.39
"128_LW0521",213,4.62582671786905,27.039310848,"128_LW0521","128",-17.48683,-149.8765,"lagoon_water","11:18","5/25/21",0.13,0.35,0.59
"129_LW0521",104,3.32839292279912,15.021301471,"129_LW0521","129",-17.48973,-149.87265,"lagoon_water","12:12","5/25/21",0.09,0.19,0.71
"130_LW0521",231,4.6714573729523,25.270198131,"130_LW0521","130",-17.48467,-149.87422,"lagoon_water","11:40","5/25/21",0.14,0.4,0.5
"131_LW0521",118,3.90451770347216,18.223374802,"131_LW0521","131",-17.4881,-149.86676,"lagoon_water","14:50","5/25/21",0.12,0.33,0.49
"133_LW0521",109,3.78264272371258,16.371882627,"133_LW0521","133",-17.49029,-149.8869,"lagoon_water","14:15","5/24/21",0.08,0.36,0.24
"137_LW0521",242,4.69976775437938,28.763115693,"137_LW0521","137",-17.4838,-149.87981,"lagoon_water","10:49","5/25/21",0.12,0.32,0.4
"138_LW0521",120,3.81999575777071,16.865656577,"138_LW0521","138",-17.4921,-149.87465,"lagoon_water","12:35","5/25/21",0.14,0.28,0.63
"139_LW0521",132,3.88425286621462,22.096528725,"139_LW0521","139",-17.49065,-149.86812,"lagoon_water","13:23","5/25/21",0.15,0.34,0.64
"140_LW0521",128,4.01854339331918,20.330053415,"140_LW0521","140",-17.49716,-149.86264,"lagoon_water","13:57","5/25/21",0.13,0.54,0.47
"142_LW0521",175,4.32100634530518,23.615782314,"142_LW0521","142",-17.49376,-149.85192,"lagoon_water","15:15","5/25/21",0.12,0.37,0.5
"143_LW0521",173,4.36929283130005,31.533296296,"143_LW0521","143",-17.49083,-149.85442,"lagoon_water","15:41","5/25/21",0.22,0.54,0.82
"144_LW0521",103,3.92580487617012,16.810015221,"144_LW0521","144",-17.48895,-149.855,"lagoon_water","16:12","5/25/21",0.17,0.39,0.73
"145_LW0521",44,3.05372838779038,9.554196758,"145_LW0521","145",-17.48967,-149.84942,"lagoon_water","12:55","5/26/21",0.17,0.46,1.68
"147_LW0521",66,3.6019419422651,10.324495439,"147_LW0521","147",-17.48169,-149.84987,"lagoon_water","11:44","5/26/21",0.15,0.29,0.62
"149_LW0521",64,3.51054579359267,13.403100331,"149_LW0521","149",-17.4865,-149.85203,"lagoon_water","13:16","5/26/21",0.16,0.46,0.73
"151_LW0521",37,2.99120140968357,8.120252081,"151_LW0521","151",-17.47822,-149.84236,"lagoon_water","11:11","5/26/21",0.13,0.31,0.61
"153_LW0521",83,3.86841052113114,13.237807565,"153_LW0521","153",-17.47842,-149.83398,"lagoon_water","10:17","5/26/21",0.14,0.38,0.64
"154_LW0521",68,3.18783257825748,12.595156928,"154_LW0521","154",-17.47973,-149.83653,"lagoon_water","16:03","5/24/21",0.13,0.35,0.65
"155_LW0521",70,3.51261979556829,12.536276259,"155_LW0521","155",-17.48487,-149.83479,"lagoon_water","15:50","5/24/21",0.14,0.41,0.64
"156_LW0521",84,3.58866364248238,14.777017717,"156_LW0521","156",-17.48503,-149.83127,"lagoon_water","15:35","5/24/21",0.13,0.33,0.17
"157_LW0521",62,3.36399742899565,13.146301426,"157_LW0521","157",-17.48115,-149.83014,"lagoon_water","14:53","5/24/21",0.11,0.18,0.34
"160_LW0521",79,3.67509978682816,13.004001943,"160_LW0521","160",-17.48205,-149.82621,"lagoon_water","14:28","5/24/21",0.17,0.69,0.26
"162_LW0521",323,5.00081290779403,39.050353515,"162_LW0521","162",-17.476,-149.78036,"lagoon_water","10:45","5/23/21",0.15,0.27,0.41
"163_LW0521",55,3.4779927423782,10.148484941,"163_LW0521","163",-17.47785,-149.78665,"lagoon_water","11:58","5/23/21",0.17,0.25,0.21
"165_LW0521",372,4.98423207247172,47.910986599,"165_LW0521","165",-17.47961,-149.79613,"lagoon_water","16:15","5/23/21",0.17,0.77,0.4
"166_LW0521",225,4.52550975041791,24.280287174,"166_LW0521","166",-17.47499,-149.78672,"lagoon_water","11:32","5/23/21",0.15,0.29,0.13
"167_LW0521",248,4.67027427122637,28.706844569,"167_LW0521","167",-17.47283,-149.78103,"lagoon_water","11:06","5/23/21",0.13,0.3,0.9
"168_LW0521",272,4.73450417018288,29.258151128,"168_LW0521","168",-17.47187,-149.78655,"lagoon_water","12:31","5/23/21",0.15,0.27,0.44
"169_LW0521",249,4.60792158205734,25.604264348,"169_LW0521","169",-17.47434,-149.79374,"lagoon_water","15:18","5/23/21",0.16,0.31,0.91
"170_LW0521",224,4.62471684912512,27.533759457,"170_LW0521","170",-17.47682,-149.79501,"lagoon_water","15:50","5/23/21",0.16,0.39,0.84
"172_LW0521",169,4.23224919117705,23.629618415,"172_LW0521","172",-17.48044,-149.79966,"lagoon_water","10:35","5/25/21",0.17,0.66,1.66
"173_LW0521",194,4.24872139177219,21.398556868,"173_LW0521","173",-17.47605,-149.79737,"lagoon_water","10:15","5/25/21",0.16,0.44,0.72
"175_LW0521",40,3.13884826665741,7.954594412,"175_LW0521","175",-17.48082,-149.80484,"lagoon_water","11:23","5/25/21",0.12,0.58,0.34
"176_LW0521",61,3.41825935430706,12.164997526,"176_LW0521","176",-17.48256,-149.81385,"lagoon_water","15:50","5/25/21",0.17,0.84,0.75
"178_LW0521",45,3.2199141316631,8.585160911,"178_LW0521","178",-17.48729,-149.81839,"lagoon_water","16:15","5/25/21",0.12,0.97,0.42
"179_LW0521",64,3.58762869292932,10.668776922,"179_LW0521","179",-17.4812,-149.8176,"lagoon_water","14:50","5/25/21",0.1,0.34,0.26
"180_LW0521",47,3.5019287755164,8.404020657,"180_LW0521","180",-17.47708,-149.82124,"lagoon_water","9:32","5/26/21",0.16,0.49,1.01
"188_LW0521",44,3.2087345268033,12.987795213,"188_LW0521","188",-17.47807,-149.81724,"lagoon_water","15:20","5/25/21",0.17,0.28,1.66
"201_LW0521",261,4.6306571700625,29.54812087,"201_LW0521","201",-17.58183,-149.78965,"lagoon_water","15:30","5/22/21",0.17,0.13,0.37
"202_LW0521",36,2.77944210746635,12.98773405,"202_LW0521","202",-17.58791,-149.80488,"lagoon_water","11:36","5/26/21",0.21,0.45,1.75
"204_LW0521",20,2.25509645316296,5.005983217,"204_LW0521","204",-17.50963,-149.76818,"lagoon_water","12:18","5/21/21",0.18,0.06,0.7
"205_LW0521",268,4.27634358300053,35.036752177,"205_LW0521","205",-17.55094,-149.78795,"lagoon_water","16:21","5/22/21",0.26,0.39,0.96
"206_LW0521",161,4.22134268678589,22.30190493,"206_LW0521","206",-17.56594,-149.79259,"lagoon_water","11:15","5/22/21",0.18,0.37,0.95
"208_LW0521",197,4.4488462338149,25.000776728,"208_LW0521","208",-17.55015,-149.88495,"lagoon_water","14:30","5/20/21",0.19,0.48,0.9
"209_LW0521",200,4.48917443682607,21.941815722,"209_LW0521","209",-17.5528,-149.88307,"lagoon_water","14:10","5/20/21",0.14,0.34,0.92
"210_LW0521",128,3.8535985732966,16.188740555,"210_LW0521","210",-17.55789,-149.87744,"lagoon_water","12:30","5/20/21",0.21,0.46,1.73
"29_LW0521",43,3.10388563718309,8.426386387,"29_LW0521","29",-17.59742,-149.82838,"lagoon_water","11:12","5/26/21",0.16,0.14,1.47
"38_LW0521",171,4.25040321384179,21.917097069,"38_LW0521","38",-17.56787,-149.7925,"lagoon_water","11:30","5/22/21",0.2,0.24,0.15
"39_LW0521",190,4.42179806840004,23.19263538,"39_LW0521","39",-17.57239,-149.78833,"lagoon_water","12:55","5/22/21",0.16,0.25,0.26
"40_LW0521",260,4.76855902907335,32.913490266,"40_LW0521","40",-17.57567,-149.78853,"lagoon_water","14:15","5/22/21",0.2,0.2,0.11
"41_LW0521",63,3.44923772732021,10.539392314,"41_LW0521","41",-17.57019,-149.78739,"lagoon_water","12:22","5/22/21",0.11,0.18,0.28
"42_LW0521",38,3.0197076593064,8.804022337,"42_LW0521","42",-17.56927,-149.78966,"lagoon_water","11:50","5/22/21",0.12,0.22,0.29
"43_LW0521",55,3.14363511811098,11.138878125,"43_LW0521","43",-17.56248,-149.78303,"lagoon_water","10:49","5/22/21",0.17,0.13,0.53
"48_LW0521",41,3.14905596344504,7.393434307,"48_LW0521","48",-17.59492,-149.81718,"lagoon_water","14:41","5/26/21",0.17,0.14,1.03
"50_LW0521",89,3.53557676805337,13.759077738,"50_LW0521","50",-17.601,-149.80085,"lagoon_water","13:28","5/26/21",0.17,0.13,0.6
"51_LW0521",205,4.44000645030854,24.739350318,"51_LW0521","51",-17.55479,-149.78912,"lagoon_water","9:30","5/22/21",0.22,0.54,0.9
"52_LW0521",201,4.4328201132267,21.37788335,"52_LW0521","52",-17.5483,-149.78066,"lagoon_water","16:01","5/21/21",0.16,0.31,0.27
"53_LW0521",323,5.1063943832604,41.916884953,"53_LW0521","53",-17.54554,-149.77825,"lagoon_water","15:35","5/21/21",0.21,0.31,0.7
"54_LW0521",74,3.53923180031058,19.007334969,"54_LW0521","54",-17.54049,-149.77395,"lagoon_water","14:33","5/21/21",0.21,0.22,1.11
"55_LW0521",64,3.59381491243084,12.578646279,"55_LW0521","55",-17.54389,-149.77475,"lagoon_water","14:45","5/21/21",0.21,0.39,1.55
"56_LW0521",66,3.39355746477189,13.969246125,"56_LW0521","56",-17.54066,-149.77038,"lagoon_water","14:04","5/21/21",0.17,0.17,0.76
"57_LW0521",82,3.71174845239092,18.611918456,"57_LW0521","57",-17.54171,-149.76657,"lagoon_water","13:34","5/21/21",0.19,0.23,0.87
"59_LW0521",91,3.8069046915038,14.870345975,"59_LW0521","59",-17.54355,-149.77061,"lagoon_water","16:13","5/21/21",0.14,0.15,0
"62_LW0521",72,3.55267020860514,12.866527144,"62_LW0521","62",-17.53598,-149.76799,"lagoon_water","12:13","5/21/21",0.1,0.14,0.49
"64_LW0521",96,3.95983871654293,15.39544786,"64_LW0521","64",-17.52993,-149.76623,"lagoon_water","10:48","5/21/21",0.11,0.17,0.42
"65_LW0521",75,3.65961111163519,13.567026544,"65_LW0521","65",-17.52484,-149.76495,"lagoon_water","9:53","5/21/21",0.14,0.16,0.12
"69_LW0521",40,2.84117727887812,7.998692874,"69_LW0521","69",-17.51598,-149.76878,"lagoon_water","15:05","5/21/21",0.14,0.27,0.02
"79_LW0521",44,3.16240164573069,8.220510119,"79_LW0521","79",-17.60411,-149.82103,"lagoon_water","15:12","5/26/21",0.12,0.14,1.17
"81_LW0521",32,2.92640066898937,11.481461465,"81_LW0521","81",-17.5651,-149.87756,"lagoon_water","9:29","5/20/21",0.18,0.35,0.23
"83_LW0521",58,3.26913605044178,9.679330744,"83_LW0521","83",-17.56706,-149.88305,"lagoon_water","10:01","5/20/21",0.12,0.23,0.09
"84_LW0521",252,4.67259728153943,29.309632781,"84_LW0521","84",-17.56044,-149.88653,"lagoon_water","11:05","5/20/21",0.13,0.28,0.13
"85_LW0521",184,4.41854683454514,22.201001775,"85_LW0521","85",-17.56351,-149.88122,"lagoon_water","10:31","5/20/21",0.15,0.32,1.32
"87_LW0521",112,3.87134472236044,14.502828722,"87_LW0521","87",-17.55784,-149.87963,"lagoon_water","12:05","5/20/21",0.16,0.4,1.16
"89_LW0521",107,3.8135456181809,16.074227013,"89_LW0521","89",-17.55474,-149.88559,"lagoon_water","13:51","5/20/21",0.15,0.31,1.18
"90_LW0521",109,2.93899731895355,17.049628367,"90_LW0521","90",-17.55574,-149.88792,"lagoon_water","12:58","5/20/21",0.08,0.2,0.13
"91_LW0521",156,4.16865982226716,19.92668181,"91_LW0521","91",-17.55742,-149.89051,"lagoon_water","13:25","5/20/21",0.15,0.35,0.56
"93_LW0521",242,4.63321325385853,29.111547216,"93_LW0521","93",-17.54638,-149.89117,"lagoon_water","15:24","5/20/21",0.1,0.47,0.18
"cooks-1_LW0521",54,3.04209891283028,9.479943646,"cooks-1_LW0521","cooks-1",-17.49718,-149.81805,"lagoon_water","16:40","5/25/21",0.16,0.09,1.2
"OPU-1_LW0521",39,2.86460484018903,9.059969197,"OPU-1_LW0521","OPU-1",-17.50843,-149.85259,"lagoon_water","14:31","5/25/21",0.19,0.25,1.08
"OPU-2_LW0521",47,3.28202554348437,8.100675757,"OPU-2_LW0521","OPU-2",-17.50654,-149.8576,"lagoon_water","14:20","5/25/21",0.25,0.87,1.57
