pcoa1,pcoa2,Site_number
-0.077870185,-0.066672959,100
-0.078911038,-0.082047519,102
-0.077407304,-0.027375398,105
0.074480627,-0.053292601,107
-0.051136738,-0.075662129,116
-0.041807521,-0.058534495,117
-0.041181153,-0.082462651,121
-0.066667094,-0.051821932,122
-0.013062496,-0.099505148,126
-0.023510238,0.111047579,128
0.080244832,-0.038704958,129
-0.031092262,0.117243856,130
0.069849438,0.020985783,131
-0.046255138,-0.0023764,133
-0.028309973,0.107401452,137
0.04923679,0.016810868,138
0.084593959,-0.009672262,139
0.068825687,0.007216736,140
0.042828446,0.034746129,142
0.055909822,0.03143732,143
0.081167229,-0.010140433,144
0.064307793,-0.082747278,145
0.004242129,-0.063114884,147
-0.00324972,-0.07492592,149
-0.012301515,-0.096084184,151
-0.001997648,-0.005483241,153
0.061772868,-0.059034691,154
-0.001191058,-0.048812413,155
0.017456194,-0.054066947,156
0.070690114,-0.086643299,157
-0.050916998,-0.018999751,160
0.027913425,0.106976574,162
-0.013753972,-0.037240157,163
0.061561696,0.05908197,165
0.009434213,0.080547043,166
-0.006538203,0.132518874,167
0.004719126,0.11887347,168
0.01780791,0.115070946,169
0.009241704,0.102364758,170
0.023099161,0.064411107,172
0.010594091,0.090745841,173
-0.000766269,-0.089240856,175
0.021222034,-0.058017352,176
0.082216267,-0.062581546,178
0.064841363,-0.05524417,179
0.067183232,-0.057942758,180
-0.020394705,-0.079495302,188
-0.003863465,0.111295042,201
0.001583148,-0.117118557,202
0.021384434,-0.098623089,204
0.065889055,0.050334899,205
0.012253774,0.072851287,206
-0.049403933,0.144573347,208
-0.051749356,0.11114638,209
0.049699469,0.043757341,210
-0.071862499,-0.10276212,29
0.012088219,0.073898368,38
-0.019761636,0.091285316,39
0.004629947,0.120467409,40
-0.021409754,-0.023940331,41
-0.033436196,-0.075036989,42
-0.045738923,-0.070340351,43
-0.072380284,-0.07900334,48
-0.064378444,-0.007176649,50
0.000487909,0.116855378,51
-0.014070629,0.107628023,52
0.0210678,0.116979202,53
-0.016397458,-0.058645739,54
-0.021596116,-0.025904602,55
-0.061956815,-0.051009034,56
-0.056227469,-0.016854258,57
-0.045492445,0.011679993,59
-0.005726993,-0.048279112,62
0.027191233,0.000636578,64
0.037874821,-0.01001565,65
0.003954461,-0.083043855,69
-0.076965117,-0.076103373,79
-0.051849026,-0.071266803,81
-0.076588642,-0.056404979,83
-0.058517934,0.118572069,84
-0.057257326,0.094967221,85
0.018832956,0.046605775,87
0.01343443,0.010333149,89
0.081738098,-0.02618654,90
-0.064101145,0.065653127,91
-0.039373073,0.12864318,93
0.090459784,-0.042386101,Cook's 1
0.084693308,-0.080169883,OPU 1
-0.004277094,-0.047428401,OPU 2