Site,Regime
1,1
2,1
3,2
4,2
5,2
6,2
7,2
8,1
9,2
10,2
11,3
13,3
14,2
15,2
16,3
17,1
19,2
20,2
21,1
22,2
24,1
25,2
26,1
27,2
28,2
29,2
30,2
31,2
32,2
34,2
35,1
36,4
37,1
38,2
39,1
40,2
41,4
42,4
43,2
44,2
45,2
46,2
47,2
48,2
50,2
51,1
52,1
53,1
54,2
55,1
56,2
57,2
58,2
59,2
60,1
61,4
62,4
63,4
64,4
65,2
66,1
67,3
68,4
69,1
70,4
71,4
72,4
73,4
74,4
75,4
77,4
78,2
79,4
80,1
81,1
82,2
84,4
85,1
86,4
87,1
89,1
90,4
91,1
92,4
93,3
94,4
95,2
96,1
97,2
98,4
99,1
100,4
101,2
102,2
103,1
104,1
105,1
106,1
107,4
108,4
109,4
110,1
111,1
112,4
113,3
114,4
115,4
116,4
117,4
118,4
119,4
120,4
121,1
122,4
123,1
125,1
126,3
127,1
128,1
129,4
130,1
131,4
132,1
133,4
134,1
136,4
137,4
138,1
139,1
140,3
141,3
142,4
143,1
144,3
145,3
146,1
147,1
148,1
149,1
150,4
151,1
152,1
153,1
154,1
155,1
156,1
157,4
158,1
159,1
160,1
161,4
162,3
163,1
164,1
165,1
166,1
167,4
168,1
169,1
170,1
171,1
172,1
173,1
175,1
176,1
178,3
179,4
180,1
181,1
182,4
183,1
184,1
185,1
186,1
187,1
188,1
200,1
201,2
202,3
203,3
204,2
205,3
206,1
207,1
208,3
209,1
210,1
lter3b,2
lter3f,2
lter6f,3
cooks-1,2
OPU-1,3
OPU-2,3
76,4
83,4